KGAS_ID,RMS,minchan,maxchan,minchan_v,maxchan_v,Detected_10kms,Detected_30kms
309,0.001042764,33,113,14809,15688,FALSE,FALSE
310,0.001046667,41,122,14897,15787,FALSE,FALSE
311,0.00167061,39,123,15851,16780,FALSE,FALSE
312,0.001621752,84,164,16348,17232,FALSE,FALSE
313,0.001591431,45,84,15918,16349,TRUE,TRUE
314,0.001642313,73,115,16228,16692,TRUE,TRUE
315,0.00161806,43,125,15896,16803,FALSE,FALSE
316,0.0015816,48,121,15950,16758,FALSE,FALSE
317,0.001585886,44,128,15906,16835,FALSE,FALSE
318,0.001588294,112,194,16657,17563,FALSE,FALSE
319,0.001574686,72,150,16215,17077,FALSE,FALSE
320,0.001582836,43,90,15895,16414,TRUE,TRUE
321,9.82E-04,90,134,14899,15381,TRUE,TRUE
322,0.00100253,0,71,13915,14693,FALSE,FALSE
323,9.95E-04,154,213,15601,16247,TRUE,TRUE
324,0.001008245,60,142,14572,15470,FALSE,FALSE
325,9.94E-04,90,124,14901,15273,TRUE,TRUE
326,9.91E-04,67,126,14647,15294,TRUE,TRUE
327,0.001000825,123,199,15261,16093,FALSE,FALSE
328,9.99E-04,130,162,15338,15683,FALSE,TRUE
329,9.75E-04,91,166,14911,15733,TRUE,TRUE
330,9.86E-04,82,200,14813,16105,FALSE,FALSE
331,0.001237612,123,148,6766,7026,TRUE,TRUE
332,0.001221463,155,190,7098,7461,TRUE,TRUE
333,0.001248325,165,200,7202,7565,TRUE,TRUE
334,0.001249099,81,125,6331,6787,TRUE,TRUE
335,0.001236205,163,194,7182,7503,TRUE,TRUE
336,0.001227883,81,165,6331,7202,FALSE,FALSE
337,0.001249892,147,223,7016,7804,FALSE,FALSE
338,0.001165339,22,68,5718,6195,TRUE,TRUE
339,0.001260172,123,168,6767,7233,TRUE,TRUE
340,0.00121826,115,164,6684,7192,TRUE,TRUE
341,0.001461428,86,110,16603,16869,TRUE,TRUE
342,0.001440771,81,158,16547,17399,FALSE,FALSE
343,0.001408582,70,124,16425,17023,TRUE,TRUE
344,0.00146776,33,92,16015,16668,TRUE,TRUE
345,0.001456734,94,152,16691,17333,TRUE,TRUE
346,0.001457134,43,124,16126,17023,FALSE,FALSE
347,0.001476926,110,135,16868,17145,TRUE,TRUE
